Refcode,metals,max_metal_coordination_n,metal_sbu_smile,linker_smile,n_sbu_point_of_extension,n_linker_point_of_extension,metal_cluster_smile,ligand_smile,n_channel,void_fraction,asa (A^2),av (A^3),pld (A),lcd (A),lfpd (A)
GADNIJ,Ba,11,[Ba]O[Ba][O].[O][C]=O.O=[C][O].[O][C]=O.O=[C][O].O.[H].O.[H].O.[H].O.[H].O.[H].O.[H],[C]1=C(C=CC=C1)S,4,1,[Ba]O[Ba][O].O.[H].O.[H].O.[H].O.[H].O.[H].O.[H],O=C([O])c1ccccc1S,1,0.3478,157.135,646.597,14.02804,14.51143,14.51143
KADFIF,Ag,4,[Ag]ON(O[Ag]ON(=O)=O)[O].[Ag]ON(O[Ag]ON(=O)=O)[O],n1c(cncc1)C#Cc1c(C#Cc2nccnc2)cccc1,8,4,[Ag]ON(O[Ag]ON(=O)=O)[O].[Ag]ON(O[Ag]ON(=O)=O)[O],n1c(cncc1)C#Cc1c(C#Cc2nccnc2)cccc1,0,0,0,0,0.88533,2.04465,1.65599
PEFRUP,Gd,11,[Gd]1234(O[C]O[Gd]567(O[C]O[Gd](O[C]O5)(O[C]O6)(O[C]O7)[O])O[C]O1)O[C]O[Gd](O[C]=O)(O[C])(O[C]O2)(O[C]O3)O[C]O4.O.O.O.O.[H].O.O.[H],[C]1=CC=C(N=C1)C1=NC=[C]C=C1,12,2,[Gd][Gd].O.[Gd][Gd].O.O.O.[H].O.O.[H],[O]C(=O)c1ccc(c2ccc(C(=O)[O])cn2)nc1,2,0.16,988.452,1051.8,6.17599,8.43108,7.67147
MOFTIL01,Zn,4,[Zn]O[C]=O,N1=C([N]N=N1)C1=CC=[C]C=C1,3,3,[Zn],N1=C([N]N=N1)c1ccc(cc1)C(=O)[O],0,0,0,0,1.14069,1.8853,1.8853
QUQFEO,Zn,4,[CH]1O[Zn]2O[CH]O[Zn@@]34O[C]O[Zn](O[CH]O2)O[C]O[Zn@](O[C]O3)(O1)O4,[C]1=CC(=C[C]=C1)c1cc(C2=C[C]=C[C]=C2)cc(c1)C1=C[C]=C[C]=C1,6,6,[Zn].O([Zn])[Zn].[Zn],c1(C([O])[O])cc(c2cc(c3cc(C([O])[O])cc(C(=O)[O])c3)cc(c2)c2cc(C([O])[O])cc(C(=O)[O])c2)cc(C(=O)[O])c1,6,0.0504,1384.59,393.033,4.22325,5.4563,5.30352
XANBOE,Sn,3,[Sn]OP([O])O[Sn]OP(=O)=O,[C]1=CC=[C]C=C1,4,4,[Sn],[O]P(=O)([O])c1ccc(P(=O)([O])[O])cc1,0,0,0,0,1.14185,1.52788,1.52788
KIRKIH,Co,6,[C]1O[Co]2(O[C]O[Co]3(O[C]O2)O[C]O3)O1,c1ncc(C2=CC=C[C]=C2)cc1C1=CC=C[C]=C1,6,3,[Co],c1ncc(c2cc(C(=O)[O])ccc2)cc1c1cccc(C(=O)[O])c1,0,0,0,0,0.95168,1.83957,1.83957
WEYQAU15,Mn,10,[Mn]123(O[C]O[Mn]45(O[C]O1)(O[C]O4)O[C]O5)(O[C]O2)O[C]O3,[C]1=C[C]=C[C]=C1,6,3,[Mn],[O]C(=O)c1cc(C(=O)[O])cc(C(=O)[O])c1,0,0,0,0,3.00341,4.1019,4.1019
MUKMIO02,Fe,6,[Fe],n1cn(nn1)CCn1cnnn1,6,2,[Fe],n1cn(nn1)CCn1cnnn1,0,0,0,0,2.1944,4.30064,4.30064
ZUSCOI,Cd,8,[Cd]123(O[C]O1)(O[C]O[Cd]1(O[C]O[Cd]45(O[C]O4)(O[C]O5)O[C]O1)O[C]O2)O[C]O3,[C]1=CC=C(C=C1)c1c2c(c(c3cc(C4=CC=[C]C=C4)ccc13)C1=CC=[C]C=C1)ccc(C1=CC=[C]C=C1)c2,8,4,[Cd],O=C(c1ccc(c2c3c(c(c4cc(c5ccc(C(=O)[O])cc5)ccc24)c2ccc(C(=O)[O])cc2)ccc(c2ccc(C(=O)[O])cc2)c3)cc1)[O],1,0.2166,654.485,739.086,7.2303,8.9947,8.9947
RARFOG,Sr,12,[Sr](O[C]=O)O[C]=O.O=[C][O].[Sr](O[C]=O)O[C]=O.[C](=O)[O].[O][C]=O.[O][C]=O,[CH2]N1[CH]N(C=C1)[CH2],8,2,[Sr][Sr],[O]C(=O)CN1C=CN([CH]1)CC(=O)[O],0,0,0,0,3.17415,4.2028,4.2028
GUWHEM01,Cu,4,[Cu],N1=C(c2ccccn2)[N]C=N1,4,4,[Cu],N1=C(c2ccccn2)[N]C=N1,0,0,0,0,1.31714,2.41077,2.31682
YIDQOS,Ni,4,[Ni](Cl)Cl,n1ccc(CCc2ccncc2)cc1,2,2,[Ni](Cl)Cl,n1ccc(CCc2ccncc2)cc1,0,0,0,0,1.02728,1.91939,1.91939
CEDTOX,Cd,5,I[Cd]O[C]=O.O=[C]O[Cd]I,[C]1=CC(=CC(=C1)n1cnc2c1cccc2)n1c2c(nc1)cccc2,6,3,I[Cd],O=C([O])c1cc(cc(n2c3c(nc2)cccc3)c1)n1cnc2c1cccc2,0,0,0,0,0.93608,3.09384,3.09384
WACMOF,Cu,3,[Cu],n1cn([BH](n2c3cc(C)c(C)cc3nc2)n2cnc3c2cc(c(C)c3)C)c2c1cc(C)c(C)c2,3,3,[Cu],n1cn([BH](n2c3cc(C)c(C)cc3nc2)n2cnc3c2cc(c(C)c3)C)c2c1cc(C)c(C)c2,1,0.302,684.15,1648.46,10.48581,11.66574,11.66574
YEDXAH,Sn,5,[Sn]O[S@](N[S@@](O[Sn](C1CCCCC1)(C1CCCCC1)C1CCCCC1)[O])[O].[O][S]([O])N[S]([O])[O].[CH]1[CH]C[CH]C[CH]1.[H].[H].[H].[CH][CH][C].[CH2][CH][CH].[H].[H].[H].[H].[H].[CH][CH][CH2].[H].[CH2]C[CH2],[CH3],4,1,[Sn](C1CCCCC1)(C1CCCCC1)C1CCCCC1,O=S(=O)(C)NS(=O)(=O)C,1,0.2606,367.822,639.236,8.73342,10.06691,10.06691
NEQDET,Ag,4,[Ag][Ag],n1ccn(c1C)Cc1ccc(cc1)Cn1c(C)ncc1,6,2,[Ag][Ag],n1ccn(c1C)Cc1ccc(cc1)Cn1c(C)ncc1,0,0,0,0,3.01367,5.07426,5.07426
HEJQUL,Cd,6,[Cd],[nH]1nccn1,6,3,[Cd],[nH]1nccn1,1,0.0374,702.05,242.992,3.92354,6.42627,6.42627
GAPLUH01,Cu,5,[Cu]Cl.Cl[Cu](Cl)(Cl)Cl.[Cu]Cl,N1=C2CCOCCc3nn(nn3)C(CCC(C)([N@@]([N]1)[N]2)C)(C)C,4,2,[Cu]Cl.Cl[Cu](Cl)(Cl)Cl.[Cu]Cl,N1=C2CCOCCc3nn(nn3)C(CCC(C)([N@@]([N]1)[N]2)C)(C)C,1,0.2662,280.644,548.4,9.73916,10.55338,10.55338
EBATEI,Mn,6,[Mn]([Se]C#N)[Se]C#N,n1ccc(c2ccncc2)cc1,6,2,[Mn]([Se]C#N)[Se]C#N,n1ccc(c2ccncc2)cc1,1,0.1522,274.368,214.233,5.5695,7.26344,7.26344
OKUTAR,Cu,5,[Cu]1234O[C]O[Cu]1(O[C]O2)(O[C]O3)O[C]O4,[C]1=CC=c2c(=C1)c1c(C=C[C]=C1)n2c1ccc(c2ccc(n3c4c(c5=C[C]=CC=c35)C=[C]C=C4)cc2)cc1,4,4,[Cu][Cu],O=C([O])c1ccc2n(c3ccc(c4ccc(n5c6c(cc(C(=O)[O])cc6)c6c5ccc(C(=O)[O])c6)cc4)cc3)c3c(c2c1)cc(cc3)C(=O)[O],1,0.2318,10101.6,10959.8,6.33956,11.25413,11.24649
KIPXUE,Zn,6,[Zn],N1=C2C=C/C/1=C(/C1=CC=C(/C(=C/3\N=C(/C(=C\4/C=C/C(=C/2\C#Cc2ccncc2)/[N]4)/c2ccc(O[C@@H](CC)C)cc2)C=C3)/C#Cc2ccncc2)[N]1)\c1ccc(cc1)O[C@@H](CC)C,6,6,[Zn],N1=C2C=C/C/1=C(/C1=CC=C(/C(=C/3\N=C(/C(=C\4/C=C/C(=C/2\C#Cc2ccncc2)/[N]4)/c2ccc(O[C@@H](CC)C)cc2)C=C3)/C#Cc2ccncc2)[N]1)\c1ccc(cc1)O[C@@H](CC)C,0,0,0,0,3.0978,4.58256,4.30267
YIMQOD,Cu,6,[Cu]1234O[C]O[Cu]1(O[C]O2)(O[C]O3)O[C]O4,[C]1=CC(=C[C]=C1)c1ccc(c2ccc(c3cncnc3)cc2)cc1,6,3,[Cu][Cu],O=C(c1cc(c2ccc(c3ccc(c4cncnc4)cc3)cc2)cc(C(=O)[O])c1)[O],0,0,0,0,2.97295,10.67873,10.57178
MOFVAG,Na,8,[Na]O[C][O].O=[C][O].[Na]O[C].[O].O=[C][O],[C]1=CC=C(C=C1)C1=CC=[C]C=C1,4,2,[Na],[O]C(=O)c1ccc(c2ccc(cc2)C(=O)[O])cc1,0,0,0,0,0.63208,1.41431,1.41431
LAMVAZ,Pb,6,[Pb](I)I,n1ccc(/C=N/c2ccc(/N=C/c3ccncc3)cc2)cc1,2,2,[Pb](I)I,n1ccc(/C=N/c2ccc(/N=C/c3ccncc3)cc2)cc1,0,0,0,0,1.12166,2.49984,1.92422
ACIGIF,Cu,5,[Cu](I)[Cu]I,c1ccn(Cc2ccc(Cn3nccc3)cc2)n1,4,2,[Cu](I)[Cu]I,c1ccn(Cc2ccc(Cn3nccc3)cc2)n1,1,0.2676,941.598,1642.48,8.40897,9.76185,9.58219
UKIBIB,Zr,16,[Zr@@]123O[C]O[Zr]4(O1)(O[Zr]15(O[C]=O)(O[Zr](O[C]=O)(O[C]=O)(O2)(O[Zr](O5)(O[C]=O)(O4)O[C]=O)O1)O[C]=O)O[C]O[Zr]O[C]O3.[C](=O)[O].[C](=O)[O].[C](=O)[O],[C]1=CC=C(C#CC#CC2=CC=[C]C=C2)C=C1,12,2,[Zr@]123O[Zr]4O[Zr]O[Zr](O[Zr@](O1)(O2)O4)O3.[Zr],[O]C(=O)c1ccc(C#CC#Cc2ccc(cc2)C(=O)[O])cc1,1,0.4894,6740.72,18184.8,10.30335,18.78161,18.78161
CUYJUC,Sn,4,[Sn](O[P][O])OP([O])O[Sn@]12O[P]O[Sn]OP([O])O[Sn]([O])([O])OP(O[Sn]OP(O1)O[Sn]([O])OP(O[Sn]O[P][O])O2)O[Sn],N1=[C]C=CC=C1C,24,3,[Sn],n1c(cccc1C)P(=O)([O])[O],1,0.2022,576.613,666.692,6.95628,8.43374,8.43374
LONLAB,Ag,4,[Ag]P([C])c1ccccc1.[CH].[CH].[CH]=C[CH].[C]1=CC=CC=C1.[O][Ag](ON(=O)=O)[P](c1ccccc1)(c1ccccc1)c1ccccc1.[N][O].[O],n1ccc(cc1)c1ccncc1,2,2,[Ag]P([C])c1ccccc1.[CH].[CH].[CH]=C[CH].[C]1=CC=CC=C1.[O][Ag](ON(=O)=O)[P](c1ccccc1)(c1ccccc1)c1ccccc1.[N][O].[O],n1ccc(cc1)c1ccncc1,0,0,0,0,1.23988,2.43979,2.43979
VAMDOD,Cu,6,[Cu](O[C]=O)O[C]=O,N1=CC=[C]C=C1,4,2,[Cu],n1ccc(C(=O)[O])cc1,0,0,0,0,3.47079,4.75962,4.75962
LUKLIN,Cu,8,[Cu]1234O[C]O[Cu]1(O[C]O2)(O[C]O3)O[C]O4.O.O,[C]1=Cc2c3C=C[C]=Cc3c3C=C[C]=Cc3c2C=C1,4,3,[Cu][Cu].O.O,[O]C(=O)c1cc2c3ccc(C(=O)[O])cc3c3ccc(C(=O)[O])cc3c2cc1,1,0.4162,10539.5,21477.4,10.05425,17.03303,17.03303
KICMUF,Zn,6,[Zn]1(ON(O1)[O])ON(=O)=O,n1ccc(c2ccncc2)cc1,3,2,[Zn]1(ON(O1)[O])ON(=O)=O,n1ccc(c2ccncc2)cc1,0,0,0,0,3.5193,4.79471,4.79471
SUQSOP,Eu,12,[Eu]([O])(O)O[C]O[Eu@](O)(O[C]=O)O[C].[Eu@@](O[C]O[Eu]([O])O)(O[C]=O)(O[C])O.[O][C]=O.[O][C]=O,N1=CC=[C]C=[C]1,12,3,[Eu]O.[Eu]O.[Eu]O.[Eu]O,[O]C(=O)c1cc(C(=O)[O])ncc1,2,0.026,121.604,51.4264,4.82607,5.27582,5.27582
VIGZES,Pb,6,[Pb](Cl)Cl,n1ccc(cc1)[C](C)[N][N][C](C)c1ccncc1,2,2,[Pb](Cl)Cl,n1ccc(cc1)[C](C)[N][N][C](C)c1ccncc1,0,0,0,0,2.01449,2.95898,2.95898
RUWFOG,Cd,7,[Cd]1O[C]O1.Cl[Cd]1O[C]O1.[Cd]1O[C]O1.O.O.O,N1=NC=[C][CH]1,9,3,[Cd].Cl[Cd].[Cd].O.O.O,N1=NC=C([CH]1)C(=O)[O],0,0,0,0,0.89075,4.53157,4.4256
BEBGEV01,Cd,6,[Cd](Cl)Cl,n1cn(cc1)CCCCn1ccnc1,4,2,[Cd](Cl)Cl,n1cn(cc1)CCCCn1ccnc1,0,0,0,0,0.85315,1.99769,1.44828
WAGJOF01,Cu,5,Br[Cu][Cu]Br.Br[Cu]([Cu](Br)Br)Br,n1c2SC(=C3SC=CS3)Sc2ncc1,4,1,Br[Cu][Cu]Br.Br[Cu]([Cu](Br)Br)Br,n1c2SC(=C3SC=CS3)Sc2ncc1,0,0,0,0,0.9074,1.63195,1.63195
ARINUL,Cu,4,[Cu],n1ccc(/C(=N/[N][C](C)c2ccncc2)/C)cc1,4,2,[Cu],n1ccc(/C(=N/[N][C](C)c2ccncc2)/C)cc1,4,0.0068,108.825,21.6764,3.92114,4.80931,4.80931
