Refcode,metals,max_metal_coordination_n,metal_sbu_smile,linker_smile,n_sbu_point_of_extension,n_linker_point_of_extension,metal_cluster_smile,ligand_smile,n_channel,void_fraction,asa (A^2),av (A^3),pld (A),lcd (A),lfpd (A)
XESLAK,Co,6,[Co]1(OP(O[Co]O[Co]OP(O1)[O])[O])OP=O.O.[H].O.[H].O.[H],N1(CCN([CH2])CC1)[CH2],9,6,[Co].O.[H],[O]P(=O)(CN1CCN(CC1)CP(=O)([O])[O])[O],3,0.132,437.794,567.042,9.14429,9.7714,9.7714
ZOGBII,In,8,[In](O[C]=O)(O[C]=O)O[C]=O.[O][C]=O,[C]1=CC=[C]N=C1,6,3,[In],C(=O)(c1cnc(cc1)C(=O)[O])[O],1,0.7936,808.313,8967.31,42.63721,43.58988,43.548
FIZXUK,Zn,6,[Zn](O[C]=O)O[C]=O,n1ccc(cc1)c1ccc(cc1)C1=CC=[C]C=C1,4,2,[Zn],n1ccc(cc1)c1ccc(cc1)c1ccc(cc1)C(=O)[O],1,0.5996,1429.46,4924.9,10.16812,12.38629,12.38629
YUHNAS,Cu,6,Br[Cu]1[Cu]([Cu](Br)[Cu]1Br)Br.[Cu].[Cu].[Cu].[Cu],N1=C(N=C(c2ccc(C)cc2)[N]1)c1ccc(cc1)C,12,3,Br[Cu]1[Cu]([Cu](Br)[Cu]1Br)Br.[Cu].[Cu].[Cu].[Cu],N1=C(N=C(c2ccc(C)cc2)[N]1)c1ccc(cc1)C,0,0,0,0,1.56709,2.70728,2.70728
MUYKOH,Gd,13,[Gd]12(O[C]O[Gd](O[C]O1)O[C]O2)(O[C]=O)(O[C]=O)O[C]=O.O.O,[CH2]C([CH2])[CH2],6,3,[Gd][Gd].O.O,[O]C(=O)CC(CC(=O)[O])CC(=O)[O],0,0,0,0,1.40164,3.07461,3.07376
FONQOP01,Cd,8,[Cd]12(O[C]O1)O[C]O2,[C]1=CN=CC=C1,4,2,[Cd],[O]C(=O)c1cnccc1,1,0.0476,190.914,56.78,4.06453,5.69906,5.64866
AKECEA,Ag,3,[Ag]ON(=O)=O,N#Cc1ccc(cc1)CN1CCC(CC1)C1CCN(CC1)Cc1ccc(cc1)C#N,2,4,[Ag]ON(=O)=O,N#Cc1ccc(cc1)CN1CCC(CC1)C1CCN(CC1)Cc1ccc(cc1)C#N,1,0.5852,672.126,2169.73,11.58829,12.75203,12.68388
LATPII,Co,6,[Co](F)(F)F.[Fe]F.[Co].F[Fe](F)(F)(F)(F)F.[Fe](F)F.F[Co](F)F.[Fe](F)(F)F.F[Co]F,n1nc[nH]c1,8,2,[Co](F)(F)F.[Fe]F.[Co].F[Fe](F)(F)(F)(F)F.[Fe](F)F.F[Co](F)F.[Fe](F)(F)F.F[Co]F,n1nc[nH]c1,0,0,0,0,0.6611,1.16586,1.16586
FIHBUV,Mn,6,[Mn]123([O])O[C]O[Mn]45(O[C]O[Mn]6(O[C]O1)([O])O[C]O[Mn]1(O[C]O[Mn](O[C]O[Mn](O[C]O4)(O[C]O2)(O[C]O1)[O])([O])(O[C]O6)O[C]O3)(O[C]O5)[O])[O],[C]1[NH](C=CC=[C]1)CC1=CC=[C]C=C1,18,3,[Mn],O=C1[NH](C=CC=C1C(=O)[O])Cc1ccc(C(=O)[O])cc1,0,0,0,0,1.27733,6.98167,6.98167
XUHLET,U,10,[U]([O])([O])(O[C][O])(O[C][O])(O[C]=O)O[C]=O,[C]1=C[CH]N(CCCCCCN2[CH]C=[C]C=C2)C=C1,4,2,[U]([O])[O],C(=O)([O])C1=C[CH]N(CCCCCCN2[CH]C=C(C=C2)C(=O)[O])C=C1,1,0.3748,811.181,1230.3,9.56579,10.7969,10.75533
JESDUG06,Cu,3,[Cu]Br,C(#N)NC#N,2,2,[Cu]Br,C(#N)NC#N,1,0.7848,247.304,2561,26.54683,26.84347,26.84347
XEQMOX,Rh,6,[Rh]([Rh](Cl)([C][O])([C][O])Cl)([C][O])[C][O],n1c2c(ccc3c2nccc3)ccc1,2,2,[Rh]([Rh](Cl)([C][O])([C][O])Cl)([C][O])[C][O],n1c2c(ccc3c2nccc3)ccc1,1,0.4622,336.272,811.988,10.53701,11.86895,11.86895
BOKJES01,Cd,8,[Cd]12(O[C]O1)O[C]O2,[CH2]n1c(nc2ccccc12)C,4,2,[Cd],C(=O)(Cn1c(nc2ccccc12)C)[O],1,0.7394,783.772,5779.5,25.58579,26.28047,26.28047
UGUKOX,Zn,5,[Zn](OP(O[Zn@](O[P][O])(O[C]=O)[O])[O])(O[C]O[Li])[O].[Li][O].[O].[Zn](O[C])O[P]O[Zn](O[P]O[Li])O[C]O[Li],[C]1=CC=[C]C=C1,12,3,[Zn][Li],[O]P(=O)([O])c1ccc(cc1)C(=O)[O],0,0,0,0,1.05039,1.99157,1.88701
GUQLOW,Zn,6,[Zn],C12=N/C(=C(\C3=CC=C(/C(=C\4/C=CC(=N4)/C(=C/4\[N]/C(=C\1/c1ccncc1)/C=C4)/c1ccncc1)/c1ccncc1)[N]3)/c1ccncc1)/C=C2,6,6,[Zn],C12=N/C(=C(\C3=CC=C(/C(=C\4/C=CC(=N4)/C(=C/4\[N]/C(=C\1/c1ccncc1)/C=C4)/c1ccncc1)/c1ccncc1)[N]3)/c1ccncc1)/C=C2,3,0.0256,539.978,224.795,5.29045,7.2307,7.22949
YUBFUX,Zn,5,[Zn](F)F.[Zn].F[Zn],N1=C(C)N=C(C)[N]1,9,3,[Zn](F)F.[Zn].F[Zn],N1=C(C)N=C(C)[N]1,0,0,0,0,3.63945,4.94895,4.94895
DONHUL,Ag,6,[Ag](O[N][O])([Ag](O[N][O])[Ag]O[N][O])[Ag],n1ccc(cc1)C(=O)Oc1c(OC(=O)c2ccncc2)cc2c(cccc2)c1,8,2,[Ag](O[N][O])([Ag](O[N][O])[Ag]O[N][O])[Ag],n1ccc(cc1)C(=O)Oc1c(OC(=O)c2ccncc2)cc2c(cccc2)c1,1,0.2604,674.491,1102.54,7.51367,9.21891,9.21891
BIXVIQ,Cu,4,[Cu],N1=NC=C([N]1)c1cc(cc(c1)C1=CN=N[N]1)C1=NN=N[CH]1,4,6,[Cu],N1=NC=C([N]1)c1cc(cc(c1)C1=CN=N[N]1)C1=NN=N[CH]1,1,0.2972,6441.25,15120,9.77251,15.56465,15.56465
HIBDUR,Li,4,[Li][O].[O].[O].[O],[C]1CC[C]N1,4,2,[Li],O=C1CCC(=O)N1,1,0.5636,159.309,664.353,13.95964,14.68421,14.68421
YAVBOM,Pr,17,[Pr]123(O[C]O[Pr](O[C]O1)(O[C]O2)(O[C](O3)C)(O[C]=O)[O])(O[C])O[C]=O.[Pr](O[C]O[Pr@](O[C])([O])O[C]=O)(OC(=O)C)([O])(O[C])(O[C]=O)O[C]=O.[Cs].[Cs],[CH3],16,1,[Pr]O[C]C.[Pr]O[C](C)O[Pr].[Cs].[Cs][Pr][O],[O]C(=O)C,0,0,0,0,1.03213,2.66183,2.64085
XUCYEC02,Cu,3,[Cu],n1nc([nH]n1)c1ccnc(F)c1,3,3,[Cu],n1nc([nH]n1)c1ccnc(F)c1,1,0.0724,232.463,95.5627,4.94563,5.97318,5.97318
IVAFUG,Cu,5,[Cu](O[C]OCC)Cl,[CH2][N]C(=S)n1c2C[C@@H]3[C@H](c2c(n1)C)C3(C)C,4,4,[Cu]Cl,O=C(OCC)C[N]C(=S)n1c2C[C@@H]3[C@H](c2c(n1)C)C3(C)C,1,0.108,171.429,93.5668,5.37389,6.49399,6.49399
RADZED,Ho,14,[Ho]12(O[C]=O)O[C]O[Ag]O[C]O[Ho](O[C])(O[C])(O[C]O[Ag]O[C]O[Ag]3(O[C]O[Ag](O[C]=O)O[C]O2)([Ag](O[Ag]O[Ag]2[Ag]O[C]O2)O[C]O3)[O])(O[C]O[Ag]O[C])O[C]O[Ag]O[C]O1,[C]1=CC=CC=[C]1,16,2,[Ho]([Ag])[Ag].[Ag].[Ag].[Ag],O=C([O])c1c(C(=O)[O])cccc1,0,0,0,0,1.05291,2.56517,2.40376
WILFAZ,Ag,5,[Ag],n1cc2cnncc2cn1,5,4,[Ag],n1cc2cnncc2cn1,0,0,0,0,3.57095,4.54861,4.54861
YAKFIZ,Cu,5,[Cu](Cl)[Cu]Cl,S1c2ccc(SCCSCCCSCC1)nn2,4,2,[Cu](Cl)[Cu]Cl,S1c2ccc(SCCSCCCSCC1)nn2,0,0,0,0,0.94831,2.0703,2.05165
PATROT,Cd,12,[Cd]12(O[C]=O)(O[C]O1)(O[C]O2)O[C]O[Na].[Na].O,[C]1=C(C=CC=C1)c1ccc(cc1)COC1=CC=C[C]=C1,4,2,[Cd][Na].[Na].O,O=C([O])c1cc(OCc2ccc(c3c(C(=O)[O])cccc3)cc2)ccc1,1,0.2964,272.576,555.339,9.18009,10.2681,9.68977
LIQFEY,Cd,6,[Cd]12(O[C]O[Cd]3(O[C]=O)(O[C]O1)O[C]O3)O[C]O[Cd]1(O[C]=O)(O[C]O1)O[C]O2,[C]1=CC(=C[C]=C1)C#CC1=C[C]=C[C]=C1,8,4,[Cd],[O]C(=O)c1cc(C#Cc2cc(C(=O)[O])cc(c2)C(=O)[O])cc(c1)C(=O)[O],0,0,0,0,3.68423,4.92895,4.92895
COXKUW,Li,5,[Li]O[C]O.[O][C]=O.[Li]O[C]O.[O][C]=O,[C]1=CC=C[C]=C1,4,2,[Li][Li],O=C(O)c1cccc(C(=O)[O])c1,0,0,0,0,0.65027,1.30364,1.20922
NAPTEE,Cd,4,[Cd](I)I,n1ccn(C)c1[C]1[N]C=CN1C,2,2,[Cd](I)I,n1ccn(C)c1[C]1[N]C=CN1C,1,0.5096,241.016,673.446,11.47682,12.10509,12.10509
PEJNOJ,Zn,4,[Zn](O[C]=O)(O[C]=O)(O[C]=O)O[C]=O,[C]1=C[C]=C[C]=C1,4,3,[Zn],O=C([O])c1cc(C(=O)[O])cc(C(=O)[O])c1,1,0.1368,1994.47,1163.61,5.51492,5.97208,5.97208
ILINEY,Ni,6,[Ni],c1cccc(C2=NN=C([N]2)c2ccncc2)n1,6,3,[Ni],c1cccc(C2=NN=C([N]2)c2ccncc2)n1,0,0,0,0,1.18107,3.01508,3.01508
EQUCUO02,Fe,6,[Fe],n1nnn(CCCCn2nnnc2)c1,6,2,[Fe],n1nnn(CCCCn2nnnc2)c1,0,0,0,0,1.67262,4.72614,4.72614
QOTZOP,Zn,4,[C]O[Zn](O[C]O[Zn](O[C]=O)[O])(O[C])[O],[CH]1CCCC[CH]1,4,2,[Zn],[C@H]1(CCCC[C@H]1C(=O)[O])C(=O)[O],1,0.3396,79.0317,285.388,12.40898,12.52877,12.52877
KUWBIO,Mo,11,[Mo]1234(O[Mo]567(O[Mo]8([O])(O[Mo]9%10%11(O[Mo]%12%13(O[Mo]%14%15(O[Si]%16%17(OO%17)(O1)OO%16)(O[Mo](O[Cu]1O[Mo]%16%17(O[Mo@@]%18(O[Cu]O[Mo@](O%18)(O[Cu]O[Mo@@]%18(O[Mo]%19([O])(O[Mo@@](O[Cu]O%16)(O[Cu]O%19)O%18)O1)[O])O%17)[O])[O])(O8)(O%11)O[Mo](O6)([O])(O[Mo]1(O[Mo](O[Cu]([O])[O])(O[Mo](O%12)(O%10)(O3)[O])(O[Mo]([O])(O1)(O%13)O%14)O4)([O])(O5)O7)O%15)[O])(O9)[O])[O])O2)[O])[O],n1ccccc1c1ccccn1,12,2,[Mo]1234(O[Mo]567(O[Mo]8([O])(O[Mo]9%10%11(O[Mo]%12%13(O[Mo]%14%15(O[Si]%16%17(OO%17)(O1)OO%16)(O[Mo](O[Cu]1O[Mo]%16%17(O[Mo@@]%18(O[Cu]O[Mo@](O%18)(O[Cu]O[Mo@@]%18(O[Mo]%19([O])(O[Mo@@](O[Cu]O%16)(O[Cu]O%19)O%18)O1)[O])O%17)[O])[O])(O8)(O%11)O[Mo](O6)([O])(O[Mo]1(O[Mo](O[Cu]([O])[O])(O[Mo](O%12)(O%10)(O3)[O])(O[Mo]([O])(O1)(O%13)O%14)O4)([O])(O5)O7)O%15)[O])(O9)[O])[O])O2)[O])[O],n1ccccc1c1ccccn1,1,0.2082,788.949,1004.96,8.73443,9.70386,9.70386
INICPB02,Pb,5,[C](=O)O[Pb].O=[C].[O].[O][C]=O.[Pb].[O].[C].[O],[C]1=CC=NC=C1,6,1,[Pb],C(=O)(c1ccncc1)[O],0,0,0,0,1.14728,2.26869,2.25124
ZOZWAO,Pb,6,[Pb].O1[C]O[Pb]21O[C]O2.[O][C]=O.O=[C][O],[CH2]c1cc([CH2])ccc1,4,2,[Pb],O=C([O])Cc1cccc(CC(=O)[O])c1,0,0,0,0,1.32067,2.74432,2.46601
DAKWOD,Cu,4,[Cu][P](c1ccccc1)(c1ccccc1)c1ccccc1,n1ccncc1,3,1,[Cu][P](c1ccccc1)(c1ccccc1)c1ccccc1,n1ccncc1,0,0,0,0,2.77657,4.0634,4.0634
OLOQUB,Cu,5,[Cu]([Cu]Cl)Cl,n1ccc(C(=O)OCCOC(=O)c2ccncc2)cc1,4,2,[Cu]([Cu]Cl)Cl,n1ccc(C(=O)OCCOC(=O)c2ccncc2)cc1,0,0,0,0,2.75869,4.32766,4.32766
WOBDIC,Ag,10,[Ag]1O[Mo@]2(O[Mo]3(O[Mo]45(O[Mo@@]6(O[Ag]O[Mo]7([O])(O3)O[Mo](O2)([O])(O[Mo](O[Mo](O4)(O5)(O1)[O])([O])(O6)[O])O7)[O])[O])([O])[O])[O],n1nn[nH]c1c1ccc(n2cncc2)cc1,4,2,[Ag]1O[Mo@]2(O[Mo]3(O[Mo]45(O[Mo@@]6(O[Ag]O[Mo]7([O])(O3)O[Mo](O2)([O])(O[Mo](O[Mo](O4)(O5)(O1)[O])([O])(O6)[O])O7)[O])[O])([O])[O])[O],n1nn[nH]c1c1ccc(n2cncc2)cc1,1,0.0162,98.93,23.5772,3.45524,4.90394,4.90394
DUKYAL,Cu,4,[Cu],C(C1=CN=N[CH]1)C1=CN=N[CH]1,4,4,[Cu],C(C1=CN=N[CH]1)C1=CN=N[CH]1,1,0.1902,163.425,150.142,7.24613,7.57253,7.57253
KAKNEQ,Zn,5,[Zn]1(O[C]O[Zn]23(O[C]O[Zn]4(O[C]O[Zn]56(O[Zn]7(O[C]O[Zn](O[C]=O)([O])([O])O[C]O7)(O[C]O5)O[C]O6)O[C]O4)(O[C]O2)O3)O[C]O1)(O[C])(O[C])O[C]=O.[C]=O.[C]=O,[C]1=CC=[C]C=C1,16,2,[Zn],O=C(c1ccc(C(=O)[O])cc1)[O],0,0,0,0,1.51729,5.05822,4.86575
HULTEP,Co,6,[Co],c1nccn1c1nnc(n2cncc2)cc1,6,2,[Co],c1nccn1c1nnc(n2cncc2)cc1,1,0.1166,1800.88,1120.41,4.99943,7.25672,7.25672
HIPXAI,Cu,15,[Cu@@]12(O[Cu@]3(O[C]O[Cu@]4(O[Cu@](O[C]O[Cu@](O[C]O1)([O])O[Cu@@](O[C]O3)(O[C]O4)[O])(O[C]O2)[O])[O])[O])[O].[Ca],[CH](CO)[N][C][C][N][CH]CO,18,6,[Cu]O[Cu].[Ca].[Cu]O[Cu].[Cu]O[Cu],[O]C(=O)[C@H](CO)[N]C(=O)C(=O)[N][C@@H](CO)C(=O)[O],1,0.1342,510.544,467.179,7.68404,8.76223,8.76223
BOXBUN,Cu,6,I[Cu].[Cu]I.[Cu]I.I[Cu].[Cu]I.[Cu]I,n1cc(cc2c1cccc2)[Si](C)(c1cc2c(cccc2)nc1)c1cc2c(nc1)cccc2,6,3,I[Cu].[Cu]I.[Cu]I.I[Cu].[Cu]I.[Cu]I,n1cc(cc2c1cccc2)[Si](C)(c1cc2c(cccc2)nc1)c1cc2c(nc1)cccc2,1,0.5416,397.739,2406.16,18.08809,20.54329,20.54329
NANYUX,Zn,4,[Zn]1(O[C]=O)(O[C]O[Zn](O[C]O1)(O[C]=O)O[C]=O)O[C]=O,[C]1=C[C]=C[C]=C1,6,3,[Zn],[O]C(=O)c1cc(cc(c1)C(=O)[O])C(=O)[O],0,0,0,0,3.64724,4.49713,4.26542
XUMSOP,Ho,12,[C]1O[Ho]234(O[C]O[Ho]56(O1)(O[C]O[Ho]([O])(O[C])(O[C]O5)O[C]O6)O[C]O4)O[C]O[Ho](O[C]O2)(O[C]=O)(O[C])([O])O[C]O3,[CH](C)[CH]C,12,2,[Ho][Ho]#[Ho][Ho],C(=O)([O])[C@H]([C@H](C(=O)[O])C)C,0,0,0,0,1.8266,3.03344,3.03344
MUSGIQ,Cu,5,I[Cu]([Cu])([Cu](I)I)I.[Cu],n1cccc2c1ccc1cccnc21,2,1,I[Cu]([Cu])([Cu](I)I)I.[Cu],n1cccc2c1ccc1cccnc21,1,0.3456,119.886,450.582,12.92142,13.03941,13.03941
DOTSOV18,Cu,5,[Cu]1234[Cu](O[C]O1)(O[C]O2)(O[C]O3)O[C]O4,[C]1=C[C]=C[C]=C1,4,3,[Cu][Cu],[O]C(=O)c1cc(cc(c1)C(=O)[O])C(=O)[O],1,0.2594,3227.85,4706.6,6.76107,13.28353,13.28353
QUGQUH,Er,12,[Er]12O[Cr]34(O[C]O[Er]5O[Cr]6(O[Cr]78(O3)O[C]O[Er]3O[C]O[Cr](O4)(O6)(O3)O[C]O[Er](O7)O[C]O8)(O[C]O5)O[C]O2)O[C]O1.O.O.O.O.O.O.O.O.O.O.O.O,[C]1=CN=CC=C1,12,1,[Er]O[Cr]1O[Cr](O[Cr](O[Er])O[Cr](O1)O[Er])O[Er].O.O.O.O.O.O.O.O.O.O.O.O,[O]C(=O)c1cnccc1,1,0.2108,9810.15,14596.7,7.19669,13.13759,13.13479
BEMHOT,Na,12,S([O])O[Na].[O].[Na]O[S@@](=O)[O].[Na]OS[O].[Na]O[S@@](=O)[O].[O],[C]1=Cc2ccccc2C=C1,8,0,[Na][Na].[Na][Na],c1(cc2ccccc2cc1)S([O])([O])[O],1,0.4068,119.545,804.127,19.07552,19.24525,19.24525
CARKEO,Zn,4,[Zn](I)I,n1ccc(cc1)C1=[N]=C(N=C([N]1)c1ccncc1)c1ccncc1,2,3,[Zn](I)I,n1ccc(cc1)C1=[N]=C(N=C([N]1)c1ccncc1)c1ccncc1,1,0.3864,3757.67,6142.57,7.86078,12.19218,12.19218
KEKHUG,Mn,6,[Mn]([O])(O[P])([O])O[C]O[Mn](O[C]=O)([O])(O[P])[O].O.O,[O]C[CH]N,6,3,[Mn].O,[O]P(=O)([O])OC[C@@H](C(=O)[O])N,0,0,0,0,0.54613,1.30906,1.30906
OHAKEO,Cd,8,[Cd]12(O[C]O1)O[C]O2,n1ccn(C2=CC=[C]C=C2)c1,4,2,[Cd],n1ccn(c2ccc(C(=O)[O])cc2)c1,4,0.0422,272.982,118.512,4.61851,5.66778,5.66778
TORXEF,Cu,6,[Cu](O[S@@](O[Cu]O)([O])O[Cu])O[S@](O[Cu])(O[Cu]O)[O],N1=NN=C[N]1,14,4,[Cu](O[S@@](O[Cu]O)([O])O[Cu])O[S@](O[Cu])(O[Cu]O)[O],N1=NN=C[N]1,0,0,0,0,0.77348,1.97464,1.97464
PORZUT,Gd,13,O([Gd]1(O[C]O[Gd@@](O[C]O[Gd]2(O[C]O[Gd]3(O[C]=O)(O[C]O3)O[C]=O)(O[C]O2)O[C]=O)(O[C]O[Gd](O[C]=O)(O[C]O[Gd]2(O[C]=O)(O[C]O2)O[C]O[Gd]2(O[C]O2)(O[C]=O)O[C]=O)(O[C]=O)O[C]O[Gd](O[C]O1)O[C]=O)O[C]=O)O[C]=O)[C]=O.O.O.O.O,N1=CC=N[C]=[C]1,36,3,[Gd][Gd][Gd][Gd].O.O,[O]C(=O)c1c(C(=O)[O])nccn1,0,0,0,0,0.92791,3.65117,3.65117
TILBOG,Cu,3,[Cu].Cl[Cu].[Cu],n1ccc(c2ccncc2)cc1,6,2,[Cu].Cl[Cu].[Cu],n1ccc(c2ccncc2)cc1,1,0.41,473.142,897.609,9.21199,9.78046,9.78046
ZEXCIQ01,Cu,4,[Cu],n1[nH]nc(n1)c1cccnc1,4,4,[Cu],n1[nH]nc(n1)c1cccnc1,0,0,0,0,0.68977,1.77917,1.70056
NIMPEG01,Cu,6,[Cu]1234O[C]O[Cu]1(O[C]O2)(O[C]O3)O[C]O4.O.O,[C]1=CC=C(C=C1)c1cc(C(c2cc(C3=CC=[C]C=C3)c(c(C3=CC=[C]C=C3)c2)OCC)(C)C)cc(C2=CC=[C]C=C2)c1OCC,4,4,[Cu][Cu].O.O,O=C(c1ccc(c2cc(C(c3cc(c4ccc(C(=O)[O])cc4)c(c(c4ccc(C(=O)[O])cc4)c3)OCC)(C)C)cc(c3ccc(C(=O)[O])cc3)c2OCC)cc1)[O],1,0.1606,1081.72,753.127,5.40993,8.29485,8.28836
XIWQEZ,Ag,4,[Ag]ON(=O)=O,n1c(c(nc2cc3nc(c4ccccn4)c(nc3cc12)c1ncccc1)c1ncccc1)c1ncccc1,3,6,[Ag]ON(=O)=O,n1c(c(nc2cc3nc(c4ccccn4)c(nc3cc12)c1ncccc1)c1ncccc1)c1ncccc1,1,0.2404,245.959,374.749,7.03211,8.79059,8.79059
UMUYIL,Cu,4,[Cu](Cl)Cl,n1ccc(SCSc2ccncc2)cc1,2,2,[Cu](Cl)Cl,n1ccc(SCSc2ccncc2)cc1,1,0.3368,486.891,751.027,7.31243,8.20048,8.20048
TIGHOH,Ni,9,[Ni](O[V](O[V]([O])[O])[O])O[V@@]1(O[Ni])O[V]([O])(O[V]2O[Ni](O[V]([O])[O])O[V](O[Ni](O2)O[V]([O])(O1)[O])([O])[O])[O],n1ccc(cc1)/C=C/c1ccncc1,8,2,[Ni](O[V](O[V]([O])[O])[O])O[V@@]1(O[Ni])O[V]([O])(O[V]2O[Ni](O[V]([O])[O])O[V](O[Ni](O2)O[V]([O])(O1)[O])([O])[O])[O],n1ccc(cc1)/C=C/c1ccncc1,0,0,0,0,1.2581,2.6985,2.43711
LOYREY,Cu,3,Br[Cu],[S]C(=S)[C]1N(CCN1Cc1ccccc1)Cc1ccccc1,2,2,Br[Cu],[S]C(=S)[C]1N(CCN1Cc1ccccc1)Cc1ccccc1,1,0.1188,189.243,109.276,5.50862,6.40249,6.40249
YOYJAZ,Co,7,O([C])[Fe@@]12O[C]O[Co@@]([O])(O[C]O[Fe@@](O[C]O[Co]([O])O[C]O[Fe](O[C])([O])([O])O[C]O1)(O[Fe@]1(O[C])O[C]O[Fe@@]3(O[C]O[Co]([O])O[C]O1)O[C]O[Co@]1(O[C]O[Fe@](O[C]O3)(O[C])O1)[O])O[C])O2,[CH2][CH2],16,2,[Co]O[Fe].[Fe].[Fe]O[Co],O=C(CCC(=O)[O])[O],0,0,0,0,1.16062,2.07429,2.07429
WATZIC01,Zn,6,[Zn].F[Si](F)(F)(F)(F)F,n1ccc(cc1)C(=O)O[C@H]1[C@H](OC(=O)c2ccncc2)C(=O)N(c2ccccc2)C1=O,4,2,[Zn].F[Si](F)(F)(F)(F)F,n1ccc(cc1)C(=O)O[C@H]1[C@H](OC(=O)c2ccncc2)C(=O)N(c2ccccc2)C1=O,2,0.0034,53.7482,9.89149,3.49946,4.58998,4.36988
JALPAQ,Cu,6,[Cu]1(O[C]O1)O[C]=O,[C]1=C[C]=CC(=C1)c1ccncc1,3,3,[Cu],C(=O)(c1cc(cc(c2ccncc2)c1)C(=O)[O])[O],2,0.032,388.145,78.0034,3.6341,5.2957,5.06808
AVITUU,Cu,4,[Cu],n1ccc(cc1)c1c(c2ccncc2)c(c2ccncc2)sc1c1ccncc1,4,4,[Cu],n1ccc(cc1)c1c(c2ccncc2)c(c2ccncc2)sc1c1ccncc1,1,0.2098,2474.45,3575.68,6.69595,11.69294,11.69294
GECTOA,Zn,5,[Zn]Cl.[Zn](Cl)(Cl)Cl,c1cccc([C](C)[N]N(C)c2ccccn2)n1,3,3,[Zn]Cl.[Zn](Cl)(Cl)Cl,c1cccc([C](C)[N]N(C)c2ccccn2)n1,1,0.5402,208.526,969.68,17.50453,18.27013,18.27013
BUVNIR,Zn,4,[Zn](O[C]=O)O[C]=O,[C]1=CC=NC=C1,4,2,[Zn],O=C([O])c1ccncc1,1,0.4008,919.048,1667.86,8.35713,10.04648,10.00239
QATBIY,Ag,5,I[Ag]([Ag]([Ag]([Ag]Br)([Ag]Br)(Br)I)Br)I,[N]([C](N(C)C)N(C)C)c1cc(c(cc1[N][C](N(C)C)N(C)C)[N][C](N(C)C)N(C)C)[N][C](N(C)C)N(C)C,4,4,I[Ag]([Ag]([Ag]([Ag]Br)([Ag]Br)(Br)I)Br)I,[N]([C](N(C)C)N(C)C)c1cc(c(cc1[N][C](N(C)C)N(C)C)[N][C](N(C)C)N(C)C)[N][C](N(C)C)N(C)C,0,0,0,0,1.06789,4.33179,3.27685
AFUDUD,Gd,13,[Gd]123(O[CH]N(C)C)(O[C]O[Gd](O[C]=O)(O[C]O1)(O[C]O2)(O[C]O3)O[CH]N(C)C)O[C]=O.O.O,[C]1=C[C]=CC(=C1)c1ccc(C2=CC=[C]C=C2)cc1,10,3,[Gd](=[Gd]O[CH]N(C)C)O[CH]N(C)C.O.O,O=C(c1cc(C(=O)[O])cc(c2ccc(c3ccc(C(=O)[O])cc3)cc2)c1)[O],2,0.0208,432.435,129.094,3.52233,6.00691,6.00691
QODHEW,Hg,4,[Hg](Br)Br,n1ccc(cc1)/C/1=c/2\cc/c(=C(/C3=N/C(=C(/c4ccncc4)\c4ccc(/C(=C\5/C=CC1=N5)/c1ccncc1)[nH]4)/C=C3)\c1ccncc1)/[nH]2,2,4,[Hg](Br)Br,n1ccc(cc1)/C/1=c/2\cc/c(=C(/C3=N/C(=C(/c4ccncc4)\c4ccc(/C(=C\5/C=CC1=N5)/c1ccncc1)[nH]4)/C=C3)\c1ccncc1)/[nH]2,1,0.5758,847.137,3006.87,18.33715,19.24551,19.21703
WIZQUT,Zn,5,[Zn],N1=C2/C(=C\3/C=C/C(=C(\c4cc(OC)c(c(OC)c4)OC)/C4=N/C(=C(/c5cc(OC)c(OC)c(OC)c5)\C5=CC=C(/C(=C\1/C=C2)/c1ccc(OCc2cn(CC[NH]6C=C[C](C=C6)[C]6C=C[NH](C=C6)C)nn2)cc1)[N]5)/C=C4)/[N]3)/c1cc(c(c(c1)OC)OC)OC,5,5,[Zn],N1=C2/C(=C\3/C=C/C(=C(\c4cc(OC)c(c(OC)c4)OC)/C4=N/C(=C(/c5cc(OC)c(OC)c(OC)c5)\C5=CC=C(/C(=C\1/C=C2)/c1ccc(OCc2cn(CC[NH]6C=C[C](C=C6)[C]6C=C[NH](C=C6)C)nn2)cc1)[N]5)/C=C4)/[N]3)/c1cc(c(c(c1)OC)OC)OC,1,0.3562,927.769,1581.95,9.12629,11.48116,11.48116
GAMTEU,Ce,13,[Ce@]1(O[C]O[Ce@@](O[C]=O)(O[C]O1)O[C][O])(O[C][O])O[C]=O.O.O.O.O,[CH2]c1cc(cc(c1)[CH2])[CH2],6,3,[Ce][Ce].O.O.O.O,C(=O)([O])Cc1cc(CC(=O)[O])cc(c1)CC(=O)[O],0,0,0,0,2.46885,4.25122,4.05842
YUNLEZ,Hg,4,[Hg](Br)Br,n1cccc(c1)Cn1c(nc2c1cccc2)[C](C)[N][N][C](C)c1n(Cc2cccnc2)c2ccccc2n1,2,2,[Hg](Br)Br,n1cccc(c1)Cn1c(nc2c1cccc2)[C](C)[N][N][C](C)c1n(Cc2cccnc2)c2ccccc2n1,1,0.1182,633.074,359.597,4.40522,7.27578,7.27578
