,pld (A),lcd (A),void_fraction,asa (A^2),av (A^3),max_metal_coordination_n
0,0.01092640856071861,-0.029962013447209918,-0.07019329864915066,0.02481493662072204,-0.0006051913053008124,-0.008751403328072643
1,-0.039668727883219033,-0.0837449228737543,-0.008616332606884906,-0.03931788183673581,-0.03541035049886057,-0.0046282771559735545
2,0.025919232075145952,0.0014022970637791194,0.09165449882979804,-0.004230024097685747,0.0314475901564523,0.012217484009000853
3,-0.08067647215764698,-0.029268087976280523,-0.010161961807850227,0.011668775368505172,-0.000810967458224971,-6.063092603819986e-05
4,0.10679789328079493,0.15869163138651327,0.015912038802803948,0.042734649368329644,0.02446381236443774,0.04086611572011259
5,-0.02610773470584267,0.0013190802087819635,-0.016178584067249653,-0.006100525403753893,-0.010427907184011332,-0.01457969956831052
6,-0.07677422447292483,-0.08975001305049296,-0.008293915066982405,0.0051149980902497755,-0.0015032694199508126,-0.010652888810615126
7,0.028647189724300075,0.02134265786262593,0.08839602487334879,0.03153832691447103,0.039847419878446956,0.012482467749342063
8,-0.011501838893519769,0.0009185970742778039,0.00016193237023833556,-0.019388311472472324,0.035263711282621034,0.013339619451828834
9,-0.008491570406150822,-0.023488837555886783,-0.011635494158129514,-0.0023241798220761094,0.008746787102454329,0.01269766370524365
10,-0.006961878149203362,-0.020792824799508218,0.06296844379814061,0.026368974166834272,0.01144322937981927,0.019026804395039277
11,0.08492392715220518,0.0682560880349772,0.0028580254679169428,0.01778878487359275,0.00513733482592113,0.008074666009871119
12,-0.046619325234136796,-0.008813159256182517,-0.009960838515409005,-0.039631232545528944,-0.029168817033986615,-0.03244921882341394
13,0.10952207032770607,0.16702395796008454,0.010331270839564597,0.04843145657782742,0.015579034152152215,0.030402713428679656
14,0.09026250219020349,0.05580384068713453,0.07363310006636714,0.04974922059112367,0.05253762675418671,0.00010550478583801669
15,0.0226563566955879,0.02382397716149256,0.03552624259507125,-0.0015537018101612957,0.010959975316282115,-0.007090317293691459
16,-0.05031560147563321,-0.0006863120622634105,-0.028707696844287114,-0.019871826627464385,0.004829992178619051,-0.03794402223225815
17,0.009682696970124853,-0.0010491358784549313,-0.0034362557255207733,0.034811607998589365,0.04892237744150377,0.03833118913929808
18,-0.07240414100044348,-0.0643036136002296,-0.013373140281612577,0.0067531588764644605,-0.005882445244458938,-0.061643031689923085
19,-0.06474923986563463,-0.06801851079460451,-0.06141333226737926,-0.10081255729105822,-0.02177890370779686,-0.028620780072405736
20,-0.09297765889690268,-0.04746655202495912,-0.013363282530515821,0.006384478256587335,-0.004323268795714839,-0.03376905020200837
21,0.02602216873886008,-0.06323677953472175,-0.003516864670288324,0.00971584011828246,-0.001156033955515121,0.008439672442984835
22,0.006377343706848937,0.0851225676957557,0.04299778545162093,0.03815144564417539,0.08691499804495206,0.014621429946078995
